Authors	Title	Year	Link	Authors with Affiliations	aff_names	Affiliation type	Affiliation country
Timothy De Reuse;Ichiro Fujinaga	"A Transformer-Based ""Spellchecker"" for Detecting Errors in OMR Output"	2022	https://doi.org/10.5281/zenodo.7316782	Timothy de Reuse, Centre for Interdisciplinary Research in Music Media and Technology, McGill University, CAN, facility;Ichiro Fujinaga, Centre for Interdisciplinary Research in Music Media and Technology, McGill University, CAN, facility	Centre for Interdisciplinary Research in Music Media and Technology,Centre for Interdisciplinary Research in Music Media and Technology	facility, facility	CAN, CAN
Yang Qu;Yutian Qin;Lecheng Chao;Hangkai Qian;Ziyu Wang;Gus Xia	Modeling perceptual loudness of piano tone: theory and applications	2022	https://doi.org/10.5281/zenodo.7343094	Yang Qu, City University of Hong Kong, HKG, education; Music X Lab, NYU Shanghai, CHN, education;Yutian Qin, New York University, USA, education; Music X Lab, NYU Shanghai, CHN, education;Lecheng Chao, Music X Lab, NYU Shanghai, CHN, education;Hangkai Qian, Music X Lab, NYU Shanghai, CHN, education;Ziyu Wang, Mohamed Bin Zayed University of Artificial Intelligence, ARE, education; Music X Lab, NYU Shanghai, CHN, education;Gus Xia, Mohamed Bin Zayed University of Artificial Intelligence, ARE, education; Music X Lab, NYU Shanghai, CHN, education	 City University of Hong Kong, New York University Shanghai, New York University, New York University Shanghai, New York University Shanghai, New York University Shanghai, Mohamed Bin Zayed University of Artificial Intelligence, New York University Shanghai, Mohamed Bin Zayed University of Artificial Intelligence, New York University Shanghai	education, education, education, education, education, education, education, education, education, education	HKG, CHN, USA, CHN, CHN, CHN, ARE, CHN, ARE, CHN
Michael Zhou;Andrew Mcgraw;Douglas R Turnbull	Towards Quantifying the Strength of Music Scenes Using Live Event Data	2022	https://doi.org/10.5281/zenodo.7316730	Michael Zhou, Columbia University, USA, education;Andrew McGraw, University of Richmond, USA, education;Douglas R. Turnbull, Ithaca College, USA, education	 Columbia University, University of Richmond, Ithaca College	education, education, education	USA, USA, USA
Stewart Greenhill;Majid Abdolshah;Vuong Le;Sunil Gupta;Svetha Venkatesh	Semantic Control of Generative Musical Attributes	2022	https://doi.org/10.5281/zenodo.7316788	Stewart Greenhill, Deakin University, AUS, education;Majid Abdolshah, Deakin University, AUS, education;Vuong Le, Deakin University, AUS, education;Sunil Gupta, Deakin University, AUS, education;Svetha Venkatesh, Deakin University, AUS, education	 Deakin University, Deakin University, Deakin University, Deakin University, Deakin University	education, education, education, education, education	AUS, AUS, AUS, AUS, AUS
Darius Afchar;Romain Hennequin;Vincent Guigue	Learning Unsupervised Hierarchies of Audio Concepts	2022	https://doi.org/10.5281/zenodo.7316692	Darius Afchar, Deezer Research, FRA, company, MLIA, ISIR - Sorbonne Université - CNRS, FRA, education;Romain Hennequin, Deezer Research, FRA, company;Vincent Guigue, MLIA, ISIR - Sorbonne Université - CNRS, FRA, education	 Deezer Research, Deezer Research, Sorbonne Université	company, company, education	FRA, FRA, FRA
Martin Clayton;Preeti Rao;Nithya Shikarpur;Sujoy Roychowdhury;Jin Li	Raga Classification From Vocal Performances Using Multimodal Analysis	2022	https://doi.org/10.5281/zenodo.7316650	Martin Clayton, Department of Music, Durham University, United Kingdom, education;Preeti Rao, Department of Electrical Engineering, Indian Institute of Technology Bombay, India, education;Nithya Shikarpur, Department of Electrical Engineering, Indian Institute of Technology Bombay, India, education;Sujoy Roychowdhury, Department of Electrical Engineering, Indian Institute of Technology Bombay, India, education;Jin Li, Department of Music, Durham University, United Kingdom, education	Durham University, IIT Bombay, IIT Bombay, IIT Bombay, Durham University	education, education, education, education, education	GBR, IND, IND, IND, GBR
Lucas S Maia;Martín Rocamora;Luiz W P Biscainho;Magdalena Fuentes	Adapting meter tracking models to Latin American music	2022	https://doi.org/10.5281/zenodo.7385261	Not found	Federal University of Rio de Janeiro, Universidad de la República, Federal University of Rio de Janeiro, New York University	education, education, education, education	BRA, URY, BRA, USA
Franca Bittner;Marcel Gonzalez;Maike L Richter;Hanna Lukashevich;Jakob Abeßer	Multi-pitch Estimation meets Microphone Mismatch: Applicability of Domain Adaptation	2022	https://doi.org/10.5281/zenodo.7342840	Franca Bittner, Fraunhofer IDMT, DEU, facility;Marcel Gonzalez, Fraunhofer IDMT, DEU, facility;Maike Richter, Fraunhofer IDMT, DEU, facility;Hanna Lukashevich, Fraunhofer IDMT, DEU, facility;Jakob Abeûer, Fraunhofer IDMT, DEU, facility	 Fraunhofer IDMT, Fraunhofer IDMT, Fraunhofer IDMT, Fraunhofer IDMT, Fraunhofer IDMT	facility, facility, facility, facility, facility	DEU, DEU, DEU, DEU, DEU
Dichucheng Li;Yulun Wu;Qinyu Li;Jiahao Zhao;Yi Yu;Fan Xia;Wei Li	Playing Technique Detection by Fusing Note Onset Information in Guzheng Performance	2022	https://doi.org/10.5281/zenodo.7316658	Dichucheng Li, School of Computer Science and Technology, Fudan University, Shanghai, China, education;Yulun Wu, School of Computer Science and Technology, Fudan University, Shanghai, China, education;Qinyu Li, College of Experimental Art, Sichuan Conservatory of Music, Sichuan, China, education;Jiahao Zhao, School of Computer Science and Technology, Fudan University, Shanghai, China, education;Yi Yu, National Institute of Informatics (NII), Tokyo, Japan, facility;Fan Xia, College of Experimental Art, Sichuan Conservatory of Music, Sichuan, China, education;Wei Li, School of Computer Science and Technology, Fudan University, Shanghai, China, education, Shanghai Key Laboratory of Intelligent Information Processing, Fudan University, China, facility	Fudan University, Fudan University, Conservatory of Music Sichuan, Fudan University, National Institute of Informatics, Conservatory of Music Sichuan, Fudan University 	education, education, education, education, facility, education, education	CHN, CHN, CHN, CHN, JPN, CHN, CHN
Weixing Wei;Peilin Li;Yi Yu;Wei Li	HPPNet: Modeling the Harmonic Structure and Pitch Invariance in Piano Transcription	2022	https://doi.org/10.5281/zenodo.7316762	Weixing Wei, School of Computer Science and Technology, Fudan University, CHN, education;Peilin Li, School of Computer Science and Technology, Fudan University, CHN, education;Yi Yu, Digital Content and Media Sciences Research Division, National Institute of Informatics (NII), JPN, facility;Wei Li, School of Computer Science and Technology, Fudan University, CHN, education, Shanghai Key Laboratory of Intelligent Information Processing, Fudan University, CHN, education	Fudan University, Fudan University, National Institute of Informatics, Fudan University 	education, education, facility, education	CHN, CHN, JPN, CHN
