Authors	Title	Year	Link	Authors with Affiliations	aff_names	Affiliation type	Affiliation country
Mari Itoh	Subject Search for Music: Quantitative Analysis of Access Point Selection.	2000	https://doi.org/10.5281/zenodo.1414950	Mari Itoh, Graduate School of Library and Information Science, Aichi Shukutoku University, JPN, education	Aichi Shukutoku University	education	JPN
Beth Logan	Mel Frequency Cepstral Coefficients for Music Modeling.	2000	https://doi.org/10.5281/zenodo.1416444	Beth Logan, Cambridge Research Laboratory, USA, facility, Compaq Computer Corporation, USA, company	Compaq Computer Corporation	company	USA
Özgür Izmirli	Using a Spectral Flatness Based Feature for Audio Segmentation and Retrieval.	2000	https://doi.org/10.5281/zenodo.1416438	Ozgur Izmirli, Center for Arts and Technology, Connecticut College, USA, education	Connecticut College	education	USA
Jonathan Foote	ARTHUR: Retrieving Orchestral Music by Long-Term Structure.	2000	https://doi.org/10.5281/zenodo.1416644	Jonathan Foote, FX Palo Alto Laboratory, Inc., USA, company	FX Palo Alto Laboratory	company	USA
Dave Cliff;Heppie Freeburn	Exploration of Point-Distribution Models for Similarity-based Classification and Indexing of Polyphonic Music.	2000	https://doi.org/10.5281/zenodo.1416572	Dave Cliff, Hewlett-Packard Labs, GBR, company;Heppie Freeburn, Hewlett-Packard Labs, GBR, company	 Hewlett-Packard Labs, Hewlett-Packard Labs	company, company	USA, USA
Thomas von Schroeter;Shyamala Doraisamy;Stefan M. Rüger	From Raw Polyphonic Audio to Locating Recurring Themes.	2000	https://doi.org/10.5281/zenodo.1416124	Thomas von Schroeter, Imperial College of Science, Technology and Medicine, GBR, education;Shyamala Doraisamy, University Putra Malaysia, MYS, education;Stefan M Rüger, Imperial College of Science, Technology and Medicine, GBR, education	 Imperial College of Science Technology and Medicine, University Putra Malaysia, Imperial College of Science Technology and Medicine	education, education, education	GBR, MYS, GBR
Jon W. Dunn	Beyond VARIATIONS: Creating a Digital Music Library.	2000	https://doi.org/10.5281/zenodo.1415148	Jon W. Dunn, Indiana University, USA, education	Indiana University Bloomington	education	USA
Alain Bonardi	IR for Contemporary Music: What the Musicologist Needs.	2000	https://doi.org/10.5281/zenodo.1415912	Alain Bonardi, IRCAM, FRA, facility	IRCAM	facility	FRA
G. Sayeed Choudhury;M. Droetboom;Tim DiLauro;Ichiro Fujinaga;Brian Harrington; Karl MacMillan	Optical Music Recognition System within a Large-Scale Digitization Project.	2000	https://doi.org/10.5281/zenodo.1415730	G. Sayeed Choudhury, Johns Hopkins University, USA, education;Tim DiLauro, Johns Hopkins University, USA, education;Michael Droettboom, Johns Hopkins University, USA, education;Ichiro Fujinaga, Johns Hopkins University, USA, education;Brian Harrington, Johns Hopkins University, USA, education;Karl MacMillan, Johns Hopkins University, USA, education	 Johns Hopkins University, Johns Hopkins University, Johns Hopkins University, Johns Hopkins University, Johns Hopkins University, Johns Hopkins University	education, education, education, education, education, education	USA, USA, USA, USA, USA, USA
Juan Pablo Bello;Giuliano Monti;Mark B. Sandler	Techniques for Automatic Music Transcription.	2000	https://doi.org/10.5281/zenodo.1414872	Juan Pablo Bello, King’s College London, GBR, education;Giuliano Monti, King’s College London, GBR, education;Mark Sandler, King’s College London, GBR, education	 King’s College London, King’s College London, King’s College London	education, education, education	GBR, GBR, GBR
Youngmoo E. Kim;Wei Chai;Ricardo García;Barry Vercoe	Analysis of a Contour-based Representation for Melody.	2000	https://doi.org/10.5281/zenodo.1416760	Youngmoo E. Kim, MIT Media Lab, USA, education;Wei Chai, MIT Media Lab, USA, education;Ricardo Garcia, MIT Media Lab, USA, education;Barry Vercoe, MIT Media Lab, USA, education	 MIT, MIT , MIT , MIT 	education, education, education, education	USA, USA, USA, USA
Wei Chai;Barry Vercoe	Using User Models in Music Information Retrieval Systems.	2000	https://doi.org/10.5281/zenodo.1415898	Wei Chai, Massachusetts Institute of Technology, USA, education;Barry Vercoe, Massachusetts Institute of Technology, USA, education	MIT,MIT	education, education	USA, USA
Arbee L. P. Chen	Music Representation, Indexing and Retrieval at NTHU.	2000	https://doi.org/10.5281/zenodo.1417981	Arbee L.P. Chen, National Tsing Hua University, TWN, education	National Tsing Hua University	education	TWN
David Huron	Perceptual and Cognitive Applications in Music Information Retrieval.	2000	https://doi.org/10.5281/zenodo.1414794	David Huron, Ohio State University, USA, education	Ohio State University	education	USA
Perry R. Cook;George Tzanetakis	Audio Information Retrieval (AIR) Tools.	2000	https://doi.org/10.5281/zenodo.1416716	George Tzanetakis, Princeton University, USA, education; Perry Cook, Princeton University, USA, education	Princeton University, Princeton University	education, education	USA, USA
Anastasia Georgaki;Spyros Raptis;Stelios Bakamidis	A Music Interface for Visually Impaired People in the WEDELMUSIC Environment. Design and Architecture.	2000	https://doi.org/10.5281/zenodo.1417291	Anastasia Georgaki, Institute for Language and Speech Processing, GRC, facility;Spyros Raptis, Institute for Language and Speech Processing, GRC, facility;Stelios Bakamidis, Institute for Language and Speech Processing, GRC, facility	R.C. Athena,R.C. Athena,R.C. Athena	facility, facility, facility	GRC, GRC, GRC
Michael Good	Representing Music Using XML.	2000	https://doi.org/10.5281/zenodo.1415032	Michael Good, Recordare, USA, company	Recordare	company	USA
Alexandra L. Uitdenbogerd;Justin Zobel	Music Ranking Techniques Evaluated.	2000	https://doi.org/10.5281/zenodo.1414990	Alexandra L. Uitdenbogerd, RMIT University, AUS, education;Justin Zobel, RMIT University, AUS, education	 RMIT University, RMIT University	education, education	AUS, AUS
Alexandra L. Uitdenbogerd;Abhijit Chattaraj;JustinZobel	Music IR: Past, Present, and Future.	2000	https://doi.org/10.5281/zenodo.1417545	Alexandra L. Uitdenbogerd, RMIT University, AUS, education;Abhijit Chattaraj, RMIT University, AUS, education;Justin Zobel, RMIT University, AUS, education	 RMIT University, RMIT University, RMIT University	education, education, education	AUS, AUS, AUS
Eleanor Selfridge-Field	What Motivates a Musical Query?.	2000	https://doi.org/10.5281/zenodo.1415970	Eleanor Selfridge-Field, Stanford University, USA, education	Stanford University	education	USA
Mary Levering	Intellectual Property Rights in Musical Works: Overview, Digital Library Issues and Related Initiatives.	2000	https://doi.org/10.5281/zenodo.1416786	Mary Levering, U.S. Copyright Office, Library of Congress, USA, facility	U.S. Copyright Office Library of Congress	facility	USA
Michael Clausen;R. Engelbrecht;D. Meyer;J. Schmitz	PROMS: A Web-based Tool for Searching in Polyphonic Music.	2000	https://doi.org/10.5281/zenodo.1417139	M. Clausen, Universität Bonn, DEU, education;R. Engelbrecht, Universität Bonn, DEU, education;D. Meyer, Universität Bonn, DEU, education;J. Schmitz, Universität Bonn, DEU, education	University of Bonn,University of Bonn,University of Bonn,University of Bonn	education, education, education, education	DEU, DEU, DEU, DEU
Eloi Batlle;Pedro Cano	Automatic Segmentation for Music Classification using Competitive Hidden Markov Models.	2000	https://doi.org/10.5281/zenodo.1416764	Eloi Batlle, Universitat Pompeu Fabra, ESP, education;Pedro Cano, Universitat Pompeu Fabra, ESP, education	 Universitat Pompeu Fabra, Universitat Pompeu Fabra	education, education	ESP, ESP
Perfecto Herrera-Boyer;Xavier Amatriain;Eloi Batlle;Xavier Serra	Towards Instrument Segmentation for Music Content Description: a Critical Review of Instrument Classification Techniques.	2000	https://doi.org/10.5281/zenodo.1416768	Perfecto Herrera, Pompeu Fabra University, ESP, education;Xavier Amatriain, Pompeu Fabra University, ESP, education;Eloi Batlle, Pompeu Fabra University, ESP, education;Xavier Serra, Pompeu Fabra University, ESP, education	 Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra	education, education, education, education	ESP, ESP, ESP, ESP
Maxime Crochemore;Wojciech Rytter;Costas S. Iliopoulos;Yoan J. Pinzón	Finding Motifs with Gaps.	2000	https://doi.org/10.5281/zenodo.1415986	Maxime Crochemore, Université de Marne-la-Vallée, FRA, education;Wojciech Rytter, Uniwersytet Warszawski, POL, education, University of Liverpool, GBR, education;Costas S. Iliopoulos, King's College London, GBR, education, Curtin University of Technology, AUS, education;Yoan J. Pinzon, King's College London, GBR, education, Curtin University of Technology, AUS, education	 Université de Marne-la-Vallée, Uniwersytet Warszawski, University of Liverpool, King's College London, Curtin University of Technology, King's College London, Curtin University of Technology	education, education, education, education, education, education, education	FRA, POL, GBR, GBR, AUS, GBR, AUS
Jochen Schimmelpfennig;Frank Kurth	MCML - Music Contents Markup Language.	2000	https://doi.org/10.5281/zenodo.1415526	Jochen Schimmelpfennig, University of Bonn, DEU, education;Frank Kurth, University of Bonn, DEU, education	 University of Bonn, University of Bonn	education, education	DEU, DEU
Karen Lin;Tim Bell	Integrating Paper and Digital Music Information Systems.	2000	https://doi.org/10.5281/zenodo.1416544	Karen Lin, University of Canterbury, NZL, education;Tim Bell, University of Canterbury, NZL, education	 University of Canterbury, University of Canterbury	education, education	NZL, NZL
Donald MacLellan;Carola Boehm	MuTaTeD'll: A System for Music Information Retrieval of Encoded Music.	2000	https://doi.org/10.5281/zenodo.1417755	Donald MacLellan, University of Glasgow, GBR, education;Carola Boehm, University of Glasgow, GBR, education	 University of Glasgow, University of Glasgow	education, education	GBR, GBR
Kjell Lemström;Sami Perttu	SEMEX - An efficient Music Retrieval Prototype.	2000	https://doi.org/10.5281/zenodo.1415908	Kjell Lemström, University of Helsinki, FIN, education;Sami Perttu, University of Helsinki, FIN, education	 University of Helsinki, University of Helsinki	education, education	FIN, FIN
Francis J. Kiernan	Score-based Style Recognition Using Artificial Neural Networks.	2000	https://doi.org/10.5281/zenodo.1416626	Francis J. Kiernan, University of Jyväskylä, FIN, education	University of Jyväskylä	education	FIN
Daniel Bendor;Mark B. Sandler	Time Domain Extraction of Vibrato from Monophonic Instruments.	2000	https://doi.org/10.5281/zenodo.1416810	Daniel Bendor, University of Maryland at College Park, USA, education;Mark Sandler, King's College London, GBR, education	 University of Maryland, King's College London	education, education	USA, GBR
Jeremy Pickens	A Comparison of Language Modeling and Probabilistic Text Information Retrieval Approaches to Monophonic Music Retrieval.	2000	https://doi.org/10.5281/zenodo.1415100	Jeremy Pickens, University of Massachusetts, USA, education	University of Massachusetts Amherst	education	USA
Steve Larson	Searching for Meaning: Melodic Patterns, Combinations, and Embellishments.	2000	https://doi.org/10.5281/zenodo.1415738	Steve Larson, University of Oregon, USA, education	University of Oregon	education	USA
Perry Roland	XML4MIR: Extensible Markup Language for Music Information Retrieval.	2000	https://doi.org/10.5281/zenodo.1417167	Perry Roland, University of Virginia, USA, education	University of Virginia	education	USA
David Bainbridge	The role of Music IR in the New Zealand Digital Music Library project.	2000	https://doi.org/10.5281/zenodo.1416260	David Bainbridge, University of Waikato, NZL, education	University of Waikato	education	NZL
Roger B. Dannenberg	Music Information Retrieval as Music Understanding.	2001	https://doi.org/10.5281/zenodo.1418263	Roger B. Dannenberg, Carnegie Mellon University, USA, education	Carnegie Mellon University	education	USA
Eric Allamanche;Jürgen Herre;Oliver Hellmuth;Bernhard Fröba;Thorsten Kastner;Markus Cremer	Content-based Identification of Audio Material Using MPEG-7 Low Level Description.	2001	https://doi.org/10.5281/zenodo.1417853	Eric Allamanche, Fraunhofer IIS-A, DEU, facility;Bernhard Fröba, Fraunhofer IIS-A, DEU, facility;Jürgen Herre, Fraunhofer IIS-A, DEU, facility;Thorsten Kastner, Fraunhofer IIS-A, DEU, facility;Oliver Hellmuth, Fraunhofer IIS-A, DEU, facility;Markus Cremer, Fraunhofer IIS-A / AEMT, DEU, facility	 Fraunhofer IIS-A, Fraunhofer IIS-A, Fraunhofer IIS-A, Fraunhofer IIS-A, Fraunhofer IIS-A, Fraunhofer IIS-A	facility, facility, facility, facility, facility, facility	DEU, DEU, DEU, DEU, DEU, DEU
Adriane Swalm Durey;MarkA. Clements	Melody Spotting Using Hidden Markov Models.	2001	https://doi.org/10.5281/zenodo.1415680	Adriane Swalm Durey, Georgia Institute of Technology, USA, education;Mark A. Clements, Georgia Institute of Technology, USA, education	Georgia Institute of Technology, Georgia Institute of Technology	education, education	USA, USA
Shyamala Doraisamy;Stefan M. Rüger	An Approach Towards A Polyphonic Music Retrieval System.	2001	https://doi.org/10.5281/zenodo.1415622	Shyamala Doraisamy, Imperial College, GBR, education;Stefan M Rüger, Imperial College, GBR, education	 Imperial College London,  Imperial College London	education, education	GBR, GBR
Jérôme Barthélemy;Alain Bonardi	Figured Bass and Tonality Recognition.	2001	https://doi.org/10.5281/zenodo.1417161	Jerome Barthélemy, Ircam, FRA, facility;Alain Bonardi, Ircam, FRA, facility	IRCAM,IRCAM	facility, facility	FRA, FRA
Michael Droettboom;Ichiro Fujinaga;Karl MacMillan;Mark Patton;James Warner;G. Sayeed Choudhury;Tim DiLaurio	Expressive and Efficient Retrieval of Symbolic Musical Data.	2001	https://doi.org/10.5281/zenodo.1417741	Michael Droettboom, The Peabody Institute, The Johns Hopkins University, USA, education;Ichiro Fujinaga, The Peabody Institute, The Johns Hopkins University, USA, education;Karl MacMillan, The Peabody Institute, The Johns Hopkins University, USA, education;Mark Patton, Digital Knowledge Center, Milton S. Eisenhower Library, The Johns Hopkins University, USA, education;James Warner, Digital Knowledge Center, Milton S. Eisenhower Library, The Johns Hopkins University, USA, education;G. Sayeed Choudhury, Digital Knowledge Center, Milton S. Eisenhower Library, The Johns Hopkins University, USA, education;Tim DiLauro, Digital Knowledge Center, Milton S. Eisenhower Library, The Johns Hopkins University, USA, education	Johns Hopkins University, Johns Hopkins University, Johns Hopkins University, Johns Hopkins University, Johns Hopkins University,Johns Hopkins University,Johns Hopkins University	education, education, education, education, education, education, education	USA, USA, USA, USA, USA, USA, USA
Ludger Hofmann-Engl	Towards a Cognitive Model of Melodic Similarity.	2001	https://doi.org/10.5281/zenodo.1417359	Ludger Hofmann-Engl, Keele University, UK, education	Keele University	education	GBR
Matthew J. Dovey	A Technique for Regular Expression Style Searching in Polyphonic Music.	2001	https://doi.org/10.5281/zenodo.1416140	Matthew J. Dovey, Kings College, London, education	King’s College London	education	GBR
Adam Lindsay;Youngmoo Kim	Adventures in Standardization, or How We Learned to Stop Worrying and Love MPEG-7.	2001	https://doi.org/10.5281/zenodo.1418071	Adam Lindsay, Lancaster University, GBR, education;Youngmoo Kim, MIT Media Lab, USA, education	Lancaster University, MIT	education, education	GBR, USA
Richard P. Smiraglia	Musical Works as Information Retrieval Entities: Epistemological Perspectives.	2001	https://doi.org/10.5281/zenodo.1416512	Richard P. Smiraglia, Long Island University, USA, education	Long Island University	education	USA
Jia-Lien Hsu;Arbee L. P. Chen	Building a Platform for Performance Study of Various Music Information Retrieval Approaches.	2001	https://doi.org/10.5281/zenodo.1414822	Jia-Lien Hsu, National Tsing Hua University, TWN, education;Arbee L.P. Chen, National Tsing Hua University, TWN, education	 National Tsing Hua University, National Tsing Hua University	education, education	TWN, TWN
George Tzanetakis;Georg Essl;Perry Cook	Automatic Musical Genre Classification of Audio Signals.	2001	https://doi.org/10.5281/zenodo.1415058	George Tzanetakis, Princeton University, USA, education;Georg Essl, Princeton University, USA, education;Perry Cook, Princeton University, USA, education	 Princeton University, Princeton University, Princeton University	education, education, education	USA, USA, USA
Josh Reiss;Jean-Julien Aucouturier;Mark Sandler	Efficient Multidimensional Searching Routines.	2001	https://doi.org/10.5281/zenodo.1415546	Josh Reiss, Queen Mary, University of London, GBR, education;Jean-Julien Aucouturier, Sony Computer Science Laboratory, FRA, company;Mark Sandler, Queen Mary, University of London, GBR, education	 Queen Mary University of London, Sony Computer Science Laboratories, Queen Mary University of London	education, company, education	GBR, FRA, GBR
Takuichi Nishimura;Hiroki Hashiguchi;Junko Takita;J. Xin Zhang;Masataka Goto;Ryuichi Oka	Music Signal Spotting Retrieval by a Humming Query Using Start Frame Feature Dependent Continuous Dynamic Programming.	2001	https://doi.org/10.5281/zenodo.1417191	Takuichi Nishimura, Real World Computing Partnership, Japan, facility, National Institute of Advanced Industrial Science and Technology, Japan, education;Hiroki Hashiguchi, Real World Computing Partnership, Japan, facility;Junko Takita, Mathematical Systems Inc., Japan, company;J. Xin Zhang, Media Drive Co., Japan, company;Masataka Goto, National Institute of Advanced Industrial Science and Technology, Japan, education;Ryuichi Oka, Real World Computing Partnership, Japan, facility	Real World Computing Partnership, Real World Computing Partnership, Mathematical Systems Inc., Media Drive Co., National Institute of Advanced Industrial Science and Technology, Real World Computing Partnership	education, education, facility, company, facility, education	JPN, JPN, JPN, JPN, JPN, JPN
François Pachet;Damien Laigre	A Naturalist Approach to Music File Name Analysis.	2001	https://doi.org/10.5281/zenodo.1415856	François Pachet, Sony CSL-Paris, FRA, company;Damien Laigre, Sony CSL-Paris, FRA, company	Sony Computer Science Laboratories,Sony Computer Science Laboratories 	company, company	FRA, FRA
Goffredo Haus;Emanuele Pollastri	An Audio Front End for Query-by-Humming Systems.	2001	https://doi.org/10.5281/zenodo.1415056	Goffredo Haus, Università Statale di Milano, ITA, education;Emanuele Pollastri, Università Statale di Milano, ITA, education	University of Milano,University of Milano	education, education	ITA, ITA
Andreas Kornstädt	The JRing System for Computer-Assisted Musicological Analysis.	2001	https://doi.org/10.5281/zenodo.1416100	Andreas Kornstädt, Universität Hamburg, DEU, education	University of Hamburg	education	DEU
Holger H. Hoos;Kai Renz;Marko Görg	GUIDO/MIR - an Experimental Musical Information Retrieval System based on GUIDO Music Notation.	2001	https://doi.org/10.5281/zenodo.1417517	Holger H. Hoos, University of British Columbia, CAN, education;Kai Renz, Technische Universität Darmstadt, DEU, education;Marko Görg, 	 University of British Columbia, Technische Universität Darmstadt	education, education	CAN, DEU
Donncha Ó Maidín;Margaret Cahill	Score Processing For MIR.	2001	https://doi.org/10.5281/zenodo.1416442	Donncha S. Ó Maidín, University of Limerick, IRL, education;Margaret Cahill, University of Limerick, IRL, education	 University of Limerick, University of Limerick	education, education	IRL, IRL
Christopher Raphael	Automated Rhythm Transcription.	2001	https://doi.org/10.5281/zenodo.1416122	Christopher Raphael, University of Massachusetts, Amherst, USA, education	University of Massachusetts Amherst	education	USA
William P. Birmingham;Roger B. Dannenberg;Gregory H. Wakefield;Mark Bartsch;David Bykovski;Dominic Mazzoni;Colin Meek;Maureen Mellody;William Rand	MUSART: Music Retrieval Via Aural Queries.	2001	https://doi.org/10.5281/zenodo.1415810	William P. Birmingham, University of Michigan, USA, education;Roger B. Dannenberg, Carnegie Mellon University, USA, education;Gregory H. Wakefield, University of Michigan, USA, education;Mark Bartsch, University of Michigan, USA, education;David Bykowski, University of Michigan, USA, education;Dominic Mazzoni, University of Michigan, USA, education;Colin Meek, University of Michigan, USA, education;Maureen Mellody, University of Michigan, USA, education;William Rand, University of Michigan, USA, education	 University of Michigan, Carnegie Mellon University, University of Michigan, University of Michigan, University of Michigan, University of Michigan, University of Michigan, University of Michigan, University of Michigan	education, education, education, education, education, education, education, education, education	USA, USA, USA, USA, USA, USA, USA, USA, USA
Colin Meek;William P. Birmingham	Thematic Extractor.	2001	https://doi.org/10.5281/zenodo.1414828	Colin Meek, University of Michigan, USA, education;William P. Birmingham, University of Michigan, USA, education	 University of Michigan, University of Michigan	education, education	USA, USA
Dave Datta	Managing Metadata.	2002	https://doi.org/10.5281/zenodo.1415230	David Datta, All Media Guide, USA, company	All Media Guide	company	USA
Eric Schreier	About this Business of Metadata.	2002	https://doi.org/10.5281/zenodo.1414742	Eric D. Scheirer, Bose Corporation, USA, company	Bose Corporation	company	USA
Roger B. Dannenberg;Ning Hu	Pattern Discovery Techniques for Music Audio.	2002	https://doi.org/10.5281/zenodo.1417177	Roger B. Dannenberg, Carnegie Mellon University, USA, education;Ning Hu, Carnegie Mellon University, USA, education	 Carnegie Mellon University, Carnegie Mellon University	education, education	USA, USA
Geraint A. Wiggins;Kjell Lemström;David Meredith	SIA(M)ESE: An Algorithm for Transposition Invariant, Polyphonic Content-Based Music Retrieval.	2002	https://doi.org/10.5281/zenodo.1415960	Raphaël Fournier-S’niehotta, CNAM, FRA, education;Philippe Rigaux, CNAM, FRA, education;Nicolas Travers, CNAM, FRA, education	 CNAM, CNAM, CNAM	education, education, education	FRA, FRA, FRA
Daniel P. W. Ellis;Brian Whitman;Adam Berenzweig;Steve Lawrence	The Quest for Ground Truth in Musical Artist Similarity.	2002	https://doi.org/10.5281/zenodo.1415602	Daniel P.W. Ellis, Columbia University, USA, education;Brian Whitman, MIT Media Lab, USA, education;Adam Berenzweig, Columbia University, USA, education;Steve Lawrence, NEC Research Institute, USA, facility	 Columbia University, MIT, Columbia University, NEC Research Institute	education, education, education, facility	USA, USA, USA, USA
Amar Chaudhary	An Extensible Representation for Playlists.	2002	https://doi.org/10.5281/zenodo.1415696	Amar Chaudhary, Creative Advanced Technology Ctr., USA, company	Creative Advanced Technology Ctr.	company	USA
Jürgen Kilian;Holger H. Hoos	Voice Separation - A Local Optimization Approach.	2002	https://doi.org/10.5281/zenodo.1417645	J¨urgen Kilian, Darmstadt University of Technology, DEU, education;Holger H. Hoos, University of British Columbia, CAN, education	Technische Universität Darmstadt, University of British Columbia	education, education	DEU, CAN
Matthew L. Cooper;Jonathan Foote	Automatic Music Summarization via Similarity Analysis.	2002	https://doi.org/10.5281/zenodo.1417026	Matthew Cooper, FX Palo Alto Laboratory, USA, company;Jonathan Foote, FX Palo Alto Laboratory, USA, company	 FX Palo Alto Laboratory, FX Palo Alto Laboratory	company, company	USA, USA
Jonathan Foote;Matthew L. Cooper;Unjung Nam	Audio Retrieval by Rhythmic Similarity.	2002	https://doi.org/10.5281/zenodo.1417603	Jonathan Foote, FX Palo Alto Laboratory, Inc., USA, company;Matthew Cooper, FX Palo Alto Laboratory, Inc., USA, company;Unjung Nam, CCRMA, Department of Music, Stanford University, USA, education	 FX Palo Alto Laboratory, FX Palo Alto Laboratory, Stanford University	company, company, education	USA, USA, USA
Stephan Baumann 0001;Andreas Klüter	Super-convenience for Non-musicans: Querying MP3 and the Semantic Web.	2002	https://doi.org/10.5281/zenodo.1417231	Stephan Baumann, German Research Center for AI (DFKI), DEU, facility;Andreas Klüter, sonicson GmbH, DEU, company	 German Research Center for Artificial Intelligence, sonicson GmbH	facility, company	DEU, DEU
L. P. Clarisse;Jean-Pierre Martens;Micheline Lesaffre;Bernard De Baets;Hans De Meyer;Marc Leman	An Auditory Model Based Transcriber of Singing Sequences.	2002	https://doi.org/10.5281/zenodo.1416074	L. P. Clarisse, Ghent University, BEL, education;J. P. Martens, Ghent University, BEL, education;M. Lesaffre, Ghent University, BEL, education;B. De Baets, Ghent University, BEL, education;H. De Meyer, Ghent University, BEL, education;M. Leman, Ghent University, BEL, education	 Ghent University, Ghent University, Ghent University, Ghent University, Ghent University, Ghent University	education, education, education, education, education, education	BEL, BEL, BEL, BEL, BEL, BEL
Chaokun Wang;Jianzhong Li;Shengfei Shi	A Kind of Content-Based Music Information Retrieval Method in Peer-to-peer Environment.	2002	https://doi.org/10.5281/zenodo.1417441	Chaokun Wang, Harbin Institute of Technology, CHN, education;Jianzhong Li, Harbin Institute of Technology, CHN, education;Shengfei Shi, Harbin Institute of Technology, CHN, education	 Harbin Institute of Technology, Harbin Institute of Technology, Harbin Institute of Technology	education, education, education	CHN, CHN, CHN
Beth Logan	Content-Based Playlist Generation: Exploratory Experiments.	2002	https://doi.org/10.5281/zenodo.1418061	Beth Logan, Hewlett-Packard Labs, USA, company	Hewlett-Packard Labs	company	USA
Shyamala Doraisamy;Stefan M. Rüger	A Comparative and Fault-tolerance Study of the Use of N-grams with Polyphonic Music.	2002	https://doi.org/10.5281/zenodo.1416022	Shyamala Doraisamy, Imperial College, GBR, education;Stefan Rüger, Imperial College, GBR, education	 Imperial College London,  Imperial College London	education, education	GBR, GBR
Harriette Hemmasi	Why not MARC?	2002	https://doi.org/10.5281/zenodo.1417491	Harriette Hemmasi, Indiana University, USA, education	Indiana University Bloomington	education	USA
Olivier Lartillot	Integrating Pattern Matching into an Analogy-Oriented Pattern Discovery Framework.	2002	https://doi.org/10.5281/zenodo.1417048	Olivier Lartillot, Ircam – Centre Pompidou, FRA, facility	IRCAM	facility	FRA
Geoffroy Peeters;Amaury La Burthe;Xavier Rodet	Toward Automatic Music Audio Summary Generation from Signal Analysis.	2002	https://doi.org/10.5281/zenodo.1417885	Geoffroy Peeters, IRCAM, FRA, facility;Amaury La Burthe, IRCAM, FRA, facility;Xavier Rodet, IRCAM, FRA, facility	 IRCAM, IRCAM, IRCAM	facility, facility, facility	FRA, FRA, FRA
Hugues Vinet;Perfecto Herrera;François Pachet	The CUIDADO Project.	2002	https://doi.org/10.5281/zenodo.1416940	Hugues Vinet, IRCAM, FRA, facility;Perfecto Herrera, IUA-Universitat Pompeu Fabra, ESP, education;François Pachet, SONY-CSL, FRA, company	 IRCAM, Universitat Pompeu Fabra, Sony Computer Science Laboratories	facility, education, company	FRA, ESP, FRA
Ichiro Fujinaga;Jenn Riley	Digital Image Capture of Musical Scores.	2002	https://doi.org/10.5281/zenodo.1416554	Ichiro Fujinaga, Peabody Conservatory of Music, Johns Hopkins University, USA, education;Jenn Riley, Digital Library Program, Indiana University, USA, education	 Johns Hopkins University, Indiana University	education, education	USA, USA
Jungmin Song;So-Young Bae;Kyoungro Yoon	Mid-Level Music Melody Representation of Polyphonic Audio for Query-by-Humming System.	2002	https://doi.org/10.5281/zenodo.1418309	Jungmin Song, LG Electronics, KOR, company;So Young Bae, LG Electronics, KOR, company;Kyoungro Yoon, LG Electronics, KOR, company	 LG Electronics, LG Electronics, LG Electronics	company, company, company	KOR, KOR, KOR
Gordon Geekie	Carnatic Ragas as Music Information Retrieval Entities.	2002	https://doi.org/10.5281/zenodo.1415994	Gordon Geekie, Manchester Metropolitan University, GBR, education	Manchester Metropolitan University	education	GBR
Brian Whitman;Paris Smaragdis	Combining Musical and Cultural Features for Intelligent Style Detection.	2002	https://doi.org/10.5281/zenodo.1417471	Brian Whitman, MIT Media Lab, USA, education;Paris Smaragdis, MIT Media Lab, USA, education	 MIT, MIT	education, education	USA, USA
Youngmoo E. Kim;Brian Whitman	Singer Identification in Popular Music using Warped Linear Prediction.	2002	https://doi.org/10.5281/zenodo.1416954	Youngmoo E. Kim, MIT Media Lab, USA, education;Brian Whitman, MIT Media Lab, USA, education	 MIT, MIT 	education, education	USA, USA
Masataka Goto;Hiroki Hashiguchi;Takuichi Nishimura;Ryuichi Oka	RWC Music Database: Popular, Classical and Jazz Music Databases.	2002	https://doi.org/10.5281/zenodo.1416474	Masataka Goto, National Institute of Advanced Industrial Science and Technology (AIST), JPN, facility, Information and Human Activity, PRESTO, JST, JPN, facility;Hiroki Hashiguchi, Mejiro University, JPN, education;Takuichi Nishimura, National Institute of Advanced Industrial Science and Technology (AIST), JPN, facility;Ryuichi Oka, University of Aizu, JPN, education	 National Institute of Advanced Industrial Science and Technology, Mejiro University, National Institute of Advanced Industrial Science and Technology, University of Aizu	facility, education, facility, education	JPN, JPN, JPN, JPN
Timo Sorsa;Katriina Halonen	Mobile Melody Recognition System with Voice-Only User Interface.	2002	https://doi.org/10.5281/zenodo.1415866	Timo Sorsa, Nokia Research Center, Finland, facility;Katriina Halonen, Nokia Research Center, Finland, facility	 Nokia Research Center, Nokia Research Center	company, company	FIN, FIN
Keiji Hirata;Shu Matsuda	Interactive Music Summarization based on GTTM.	2002	https://doi.org/10.5281/zenodo.1417481	Keiji Hirata, NTT Communication Science Laboratories, JPN, facility;Shu Matsuda, Digital Art Creation, JPN, company	 NTT Communication Science Laboratories, Digital Art Creation	company, company	JPN, JPN
Steffen Pauws	"CubyHum: a fully operational ""query by humming"" system."	2002	https://doi.org/10.5281/zenodo.1415614	Steffen Pauws, Philips Research Eindhoven, NLD, company	philips Research	company	NLD
